RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,PRODUCT_TITLE
20250310,5,,이뻐용^^ 잘입을게요 ㅎ,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250205,5,,고민하다 구매했는데 너무 이뻐요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250202,5,,정말 이쁘네요~~~빨리 봄이 기다려져요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250222,5,,색깔 디자인 모두 만족합니다,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250307,5,,조아요조아요조아요조어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250208,5,,디자인이 예뻐요 팔길이는 짧아요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250307,5,,조아요조아요조어요조어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250114,5,,너무 예뻐서 다른컬러로 하나 더 구매했어요 너무 마음에들어요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241227,5,,너무 이뻐요 잘입을게요,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250109,5,,화려한것 좋아하시는분들 만족하실거에용 이쁩니니당:),[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250103,5,,원단이 반짝빛나는 원단이라 고급짐,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241128,4,,핏이 예뻐서 다른 색상도 구매하고 싶네요.,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241105,5,,입었을때 훨씬 예뻐요 얄랑얄랑한게 날씬해 보이고 여리여리해 보여요 깔별로 구매하고싶음,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
