RD_WRITE_DT,RD_RATING,RD_ITEM_NM,RD_CONTENT,RD_OPTION_SIZE,RD_OPTION_COLOR,RD_REVIEWER_INFO,RD_REVIEW_IMAGES,PRODUCT_TITLE
20250311,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,이뻐요~~~~ 빨리 날씨가 따뜻해지면 좋겠어요.,약간 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250311,3,COLOR: IVORY / SIZE: 55,"옷이 예쁜데, 단추가 너무 불편해요. 안풀려서 그냥 티셔츠처럼 입어야 함. 흰색은 시스루처럼 다 비쳐서 꼼꼼히 받쳐 입어야 함",잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250310,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,이뻐용^^ 잘입을게요 ㅎ,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250309,5,COLOR: BLUE / SIZE: 55,처음에 66 샀다가 커서 동생주고 같은 거 하나 더 구매함 이쁨,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250307,5,COLOR: BLUE / SIZE: 55,조아요조아요조어요조어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250307,5,COLOR: LIGHT BEIGE(네이버 단독) / SIZE: 55,조아요조아요조아요조어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250306,5,COLOR: BLUE / SIZE: 55,예뻐요 만족합니다^^,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250306,4,COLOR: BLACK / SIZE: 55,예쁘네요~~이너로도 더워지면 하나만 입어도 좋을거 같아요 리본이 좀 크면 더 예쁠거 같은데 아쉽네요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250305,5,COLOR: BLUE / SIZE: 55,고급스런 소재라 유행도 안타고 간지 나요 타이도 있어서 활용이 편하고 여기저기 다 어울릴 것 같아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250304,5,COLOR: IVORY / SIZE: 55,너무 너무 예뻐요!! 어깨가 좁아서 이렇게 어깨 있는 옷을 좋아하는데 역시나 너무 마음에 듭니다!,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250302,5,COLOR: BLUE / SIZE: 55,배송도 빨랐네요 감사합니다,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250225,5,COLOR: BLUE / SIZE: 66,가격때문에 고민하다가 질렀는데 이쁘네요 잘 입을거 같아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250225,5,COLOR: IVORY / SIZE: 55,2년전에 샀던 블루 넘 잘입어서 올해에는 아이보리도 샀어요 참 예뻐요. 타이블라우스 계속 유행하거라,약간 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250222,5,COLOR: BLUE / SIZE: 55,색깔 디자인 모두 만족합니다,많이 커요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250215,3,COLOR: BLUE / SIZE: 55,타이 박음질이 너무 엉성하고 다른구매하신 리뷰작성한것처람 디자인은 이쁘지만 얇은재질 소재라 쉽게 올이 나갈것 같아 조심하면서 입어야된다는 말이 확 와 닿네요..디자인이 예뻐서 그냥 입습니다..,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250208,5,COLOR: BLACK / SIZE: 55,디자인이 예뻐요 팔길이는 짧아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250205,5,COLOR: BLACK / SIZE: 66,고민하다 구매했는데 너무 이뻐요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250202,5,COLOR: LIGHT BEIGE / SIZE: 55,정말 이쁘네요~~~빨리 봄이 기다려져요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250114,5,COLOR: IVORY / SIZE: 55,너무 예뻐서 다른컬러로 하나 더 구매했어요 너무 마음에들어요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250109,5,COLOR: BLACK / SIZE: 66,화려한것 좋아하시는분들 만족하실거에용 이쁩니니당:),잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20250103,5,COLOR: BLUE / SIZE: 55,원단이 반짝빛나는 원단이라 고급짐,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241227,5,COLOR: BLUE / SIZE: 55,너무 이뻐요 잘입을게요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241128,4,COLOR: BLUE / SIZE: 55,핏이 예뻐서 다른 색상도 구매하고 싶네요.,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241126,5,COLOR: IVORY / SIZE: 55,디자인도 깔끔하고 잘 입어질 것 같아요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241121,5,COLOR: BLACK / SIZE: 55,고급스러우면서 너무 맘에 듭니다~^^,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241118,5,COLOR: BLUE / SIZE: 55,너무 예쁜 블라우스,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241112,5,COLOR: BLACK / SIZE: 66,출근할 때 입었는데 예뻐요. 추천합니다.,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241110,5,COLOR: BLUE / SIZE: 55,너무 이뻐요 디자인 굿,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241105,5,COLOR: BLUE / SIZE: 66,입었을때 훨씬 예뻐요 얄랑얄랑한게 날씬해 보이고 여리여리해 보여요 깔별로 구매하고싶음,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241103,5,COLOR: IVORY / SIZE: 55,"예뻐서 깔별로 구입한 블라우스. 자켓 안에 입어도, 단독으로 입어도 이쁘고 고급집니다.",잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241016,5,COLOR: IVORY / SIZE: 66,"부드럽고 여성여성 잘 입고 있어요,",잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241004,5,COLOR: IVORY / SIZE: 55,여성 여성 여리 여리 이뽀요ㅎ,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241003,4,COLOR: BLUE / SIZE: 66체형166cm58kg상의 M보통 어깨팔이 긴 편사이즈약간 커요 (팔 둘레)핏오버핏이에요착용감편해요,색상도 고급지고 은은한 광택이 있어서 좋아요.,약간 커요 (팔 둘레),,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241001,4,COLOR: BLUE / SIZE: 55,색상도 이쁘고 디자인도 맘에 듭니다 하객패션으로 딱이네요,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241001,5,COLOR: IVORY / SIZE: 55,원하던디자인이에요.,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20241001,5,COLOR: BLACK / SIZE: 55,너무 이뻐용 만족합니다,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240928,4,COLOR: IVORY / SIZE: 66,이뻐요 단추도 고급지고 색도 좋아요 그런데 비닐냄새라고 하나요 그 냄새바 많이나고 팔쪽이 애매합니다 단추가 없고 마감이 별로예요 그치만 이뻐요ㅎ,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240928,5,COLOR: BLUE / SIZE: 55,블루 컬러 이뻐요. 잘 입을게용,잘 맞아요,,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
20240928,4,"COLOR: BLACK / SIZE: 55사이즈약간 커요 (가슴, 어깨)핏적당해요착용감편해요",블루색상 예뻐서. 블랙추가 구입합니다.ㅇ~~ 가슴이 깊게 패인거 빼고는 만족해요~ 앞부분이 쫌. 신경쓰여요,"약간 커요 (가슴, 어깨)",,,,[네이버 단독][온앤온] 퍼프 슬리브 타이 블라우스 NEW4XB285
